# K0 = 11.9013881683
# t	x(t)	y(t)	h	K(t)	erro_relativo
12.9269065857	2.9994862080	1.0079045296	0.0533911958	11.9013557434	0.0000027245
12.9756593704	2.9155128002	1.1094837189	0.0487529337	11.9013557434	0.0000027245
13.0237321854	2.6991481781	1.2107754946	0.0480729453	11.9013557434	0.0000027245
13.0760049820	2.3530297279	1.3118135929	0.0522732511	11.9013557434	0.0000027245
13.1386594772	1.8753503561	1.4067915678	0.0626547113	11.9013538361	0.0000028847
13.1990175247	1.4396746159	1.4633119106	0.0603576191	11.9013538361	0.0000028847
13.2599878311	1.0761827230	1.4858380556	0.0609707199	11.9013538361	0.0000028847
13.3243074417	0.7880294919	1.4786190987	0.0643199161	11.9013538361	0.0000028847
13.4013481140	0.5521535277	1.4405578375	0.0770407617	11.9013576508	0.0000025642
13.4713716507	0.4127137363	1.3888154030	0.0700233728	11.9013576508	0.0000025642
13.5504760742	0.3116545081	1.3200660944	0.0791042224	11.9013566971	0.0000026443
13.6394453049	0.2431480736	1.2375292778	0.0889695361	11.9013576508	0.0000025642
13.7299365997	0.2037604302	1.1533445120	0.0904914960	11.9013566971	0.0000026443
13.8240776062	0.1835849732	1.0688902140	0.0941407531	11.9013547897	0.0000028046
13.9273004532	0.1789194196	0.9821292758	0.1032224074	11.9013557434	0.0000027245
14.0429630280	0.1924244314	0.8936768770	0.1156623662	11.9013547897	0.0000028046
14.1775178909	0.2362571061	0.8037123680	0.1345546097	11.9013538361	0.0000028847
14.3070669174	0.3197632134	0.7315452695	0.1295490712	11.9013519287	0.0000030450
14.3999280930	0.4186310470	0.6897066236	0.0928608328	11.9013519287	0.0000030450
14.4822874069	0.5473276377	0.6607461572	0.0823596716	11.9013519287	0.0000030450
14.5650196075	0.7311338782	0.6410353780	0.0827326179	11.9013519287	0.0000030450
14.6404800415	0.9620469213	0.6333857179	0.0754608810	11.9013528824	0.0000029649
14.7162818909	1.2689077854	0.6386296153	0.0758018792	11.9013538361	0.0000028847
14.8036146164	1.7221883535	0.6663782001	0.0873322934	11.9013538361	0.0000028847
14.8704891205	2.1249010563	0.7087127566	0.0668744817	11.9013538361	0.0000028847
14.9379339218	2.5325145721	0.7753005624	0.0674450323	11.9013519287	0.0000030450
15.0085620880	2.8706965446	0.8750721216	0.0706281364	11.9013528824	0.0000029649
15.0568761826	2.9882373810	0.9610229135	0.0483137965	11.9013538361	0.0000028847
15.1074476242	2.9713838100	1.0629131794	0.0505712032	11.9013528824	0.0000029649
15.1552505493	2.8144857883	1.1641923189	0.0478031188	11.9013538361	0.0000028847
15.2053422928	2.5258347988	1.2663395405	0.0500917174	11.9013528824	0.0000029649
15.2622108459	2.1082663536	1.3651856184	0.0568687245	11.9013519287	0.0000030450
15.3299674988	1.5976347923	1.4460813999	0.0677570924	11.9013500214	0.0000032053
15.3921575546	1.1951041222	1.4815092087	0.0621896684	11.9013500214	0.0000032053
15.4544820786	0.8831418753	1.4844138622	0.0623247735	11.9013500214	0.0000032053
15.5297298431	0.6188853979	1.4558598995	0.0752477273	11.9013528824	0.0000029649
15.5986595154	0.4588642120	1.4097884893	0.0689295977	11.9013538361	0.0000028847
15.6766157150	0.3417115211	1.3449196815	0.0779561698	11.9013538361	0.0000028847
15.7644853592	0.2613674402	1.2644644976	0.0878696144	11.9013528824	0.0000029649
15.8560037613	0.2133781165	1.1789677143	0.0915185586	11.9013519287	0.0000030450
15.9484004974	0.1880726665	1.0948799849	0.0923967287	11.9013519287	0.0000030450
16.0482521057	0.1786562055	1.0090086460	0.0998513177	11.9013509750	0.0000031251
16.1597652435	0.1859270036	0.9209175706	0.1115125567	11.9013519287	0.0000030450
16.2876529694	0.2181405574	0.8313251734	0.1278876364	11.9013500214	0.0000032053
16.4434852600	0.3053985238	0.7403534055	0.1558315456	11.9013462067	0.0000035258
16.5392169952	0.4003426135	0.6956538558	0.0957324505	11.9013471603	0.0000034456
16.6226329803	0.5230082273	0.6649011970	0.0834152475	11.9013462067	0.0000035258
16.6984100342	0.6796847582	0.6449117064	0.0757775530	11.9013462067	0.0000035258
16.7761650085	0.9002048969	0.6341826320	0.0777557269	11.9013471603	0.0000034456
16.8515968323	1.1864979267	0.6359496117	0.0754323155	11.9013481140	0.0000033655
16.9373302460	1.6089649200	0.6575251818	0.0857330561	11.9013481140	0.0000033655
17.0039978027	1.9996612072	0.6935851574	0.0666684732	11.9013471603	0.0000034456
17.0734138489	2.4255428314	0.7545433044	0.0694152415	11.9013471603	0.0000034456
17.1428432465	2.7929213047	0.8442787528	0.0694290027	11.9013452530	0.0000036059
17.1913032532	2.9552643299	0.9249321818	0.0484608300	11.9013471603	0.0000034456
17.2388591766	2.9978914261	1.0166119337	0.0475554094	11.9013471603	0.0000034456
17.2871780396	2.9027109146	1.1177108288	0.0483193137	11.9013471603	0.0000034456
17.3348579407	2.6790969372	1.2179058790	0.0476798452	11.9013471603	0.0000034456
17.3866920471	2.3306467533	1.3171702623	0.0518345237	11.9013462067	0.0000035258
17.4487590790	1.8566769361	1.4097775221	0.0620672069	11.9013442993	0.0000036860
17.5089263916	1.4246519804	1.4647390842	0.0601675771	11.9013433456	0.0000037662
17.5695934296	1.0659986734	1.4860417843	0.0606671944	11.9013442993	0.0000036860
17.6354522705	0.7749684453	1.4774869680	0.0658596978	11.9013442993	0.0000036860
17.7119369507	0.5450667143	1.4386450052	0.0764838159	11.9013462067	0.0000035258
17.7820491791	0.4078994393	1.3863346577	0.0701128170	11.9013471603	0.0000034456
17.8612422943	0.3085765541	1.3172283173	0.0791924745	11.9013471603	0.0000034456
17.9502868652	0.2413252741	1.2345379591	0.0890443102	11.9013462067	0.0000035258
18.0411796570	0.2026547343	1.1500452757	0.0908934027	11.9013462067	0.0000035258
18.1357002258	0.1830977201	1.0654253960	0.0945214182	11.9013452530	0.0000036059
18.2392883301	0.1790740639	0.9786350131	0.1035882905	11.9013452530	0.0000036059
18.3562068939	0.1935971081	0.8896497488	0.1169180050	11.9013452530	0.0000036059
18.4921512604	0.2395576686	0.7994452715	0.1359435469	11.9013433456	0.0000037662
18.6180286407	0.3226331174	0.7299020886	0.1258773953	11.9013423920	0.0000038463
18.7110099792	0.4231308997	0.6883369684	0.0929814875	11.9013423920	0.0000038463
18.7923889160	0.5519135594	0.6600173712	0.0813789815	11.9013423920	0.0000038463
18.8680820465	0.7192177176	0.6418451071	0.0756933689	11.9013433456	0.0000037662
18.9435024261	0.9458799362	0.6335223317	0.0754205585	11.9013433456	0.0000037662
19.0208053589	1.2546610832	0.6381096244	0.0773035437	11.9013433456	0.0000037662
19.1096420288	1.7128999233	0.6656064391	0.0888359025	11.9013442993	0.0000036860
19.1751632690	2.1065018177	0.7063677907	0.0655204579	11.9013433456	0.0000037662
19.2411270142	2.5069985390	0.7700727582	0.0659646764	11.9013423920	0.0000038463
19.3131980896	2.8596997261	0.8701747656	0.0720717162	11.9013423920	0.0000038463
19.3614120483	2.9843289852	0.9551068544	0.0482142903	11.9013423920	0.0000038463
19.4137344360	2.9738500118	1.0600712299	0.0523231439	11.9013433456	0.0000037662
19.4622821808	2.8172900677	1.1628986597	0.0485485010	11.9013442993	0.0000036860
19.5116100311	2.5350503922	1.2636741400	0.0493277572	11.9013442993	0.0000036860
19.5676021576	2.1255850792	1.3617541790	0.0559929609	11.9013433456	0.0000037662
19.6298179626	1.6537052393	1.4390455484	0.0622152165	11.9013414383	0.0000039264
19.6919364929	1.2411150932	1.4789685011	0.0621177964	11.9013404846	0.0000040066
19.7533912659	0.9213703871	1.4856810570	0.0614549071	11.9013414383	0.0000039264
19.8239097595	0.6583884358	1.4629637003	0.0705176368	11.9013423920	0.0000038463
19.8933372498	0.4842188656	1.4194842577	0.0694265515	11.9013433456	0.0000037662
19.9684638977	0.3612471819	1.3587710857	0.0751267746	11.9013442993	0.0000036860
20.0000000000	0.3240162134	1.3308678865	0.0315361023	11.9013442993	0.0000036860
